accession,strain
KX130695,AG-4 HG-I
KX130696,AG-4 HG-I
KX130697,AG-4 HG-I
KX130698,AG-4 HG-I
KX130699,AG-4 HG-I
KX130700,AG-4 HG-I
KX130701,AG-4 HG-I
KX130702,AG-4 HG-I
KX130703,AG-4 HG-I
KX130704,AG-4 HG-I
KX130705,AG-4 HG-I
KX130706,AG-4 HG-I
KX130707,AG-4 HG-I
KX130708,AG-4 HG-I
KX130709,AG-4 HG-I
KX130710,AG-4 HG-I
KX130711,AG-4 HG-I
KX130712,AG-4 HG-I
KX130713,AG-4 HG-I
KX130714,AG-4 HG-I
KX130715,AG-4 HG-I
KX130716,AG-4 HG-I
KX130718,AG-4 HG-I
KX130719,AG-4 HG-I
KX130720,AG-4 HG-I
KX130721,AG-4 HG-I
KX130722,AG-4 HG-I
KX130723,AG-4 HG-I
KX130724,AG-4 HG-I
KX130725,AG-4 HG-I
KX397678,CIMAP16 WitRh-1
KX852461,AG-3 TA21
KY684287,SQU14135
KY684288,SQU14129
KX583261,RhDAG72
KX583262,RhDAG20
KX583263,RhDAG21
KT366772,CMM4150
KT366773,CMM4151
KT366774,CMM4259
KT366775,CMM121
KT366776,CMM2187
KT366777,CMM4403
KT366778,CMM2196
KT366779,CMM3098
KT366780,CMM3886
KT366781,CMM4135
KT366782,CMM4212
KT366783,CMM4233
KT366784,CMM4407
KT366785,CMM4234
KT366786,CMM4236
KT366787,CMM4254
KT366788,CMM4404
KT366789,CMM4411
KT366790,CMM4154
KT366791,CMM1350
KT366792,CMM4261
KT366793,CMM4405
KT366794,CMM4408
KT366795,CMM1787
KT366796,CMM1839
KT366797,CMM4133
KT366798,CMM4523
KT366799,CMM4255
KT366800,CMM4132
KT366801,CMM4414
KT366802,CMM1797
KT366803,CMM1806
KT366804,CMM1861
KT366805,CMM1862
KT366806,CMM2023
KT366807,CMM2099
KT366808,CMM4152
KT366809,CMM4153
KT366810,CMM4206
KT366811,CMM4256
KT366812,CMM4257
KT366813,CMM4395
KT366814,CMM4396
KT366815,CMM4412
KT366816,CMM4413
KT366817,CMM4415
KT366818,CMM4420
KT366819,CMM4424
KT366820,CMM2464
MG515404,MN Rhizoctonia AG4-HGI
MG515405,MN Rhizoctonia AG4-HGI
MG515406,MN Rhizoctonia AG4-HGI
MG515408,MN Rhizoctonia AG1-IB
MG515409,MN Rhizoctonia AG4-HGII
MG711649,AG2-1
MF447834,AG-1-IB
MF085062,CMAA1590
MF085063,CMAA1593
MF085064,CMAA1594
MF085065,CMAA1596
MF085066,CMAA1589
MF085067,CMAA1591
MF085068,CMAA1592
MF085069,CMAA1595
MF085070,CMAA1597
MF093753,CIRENA02
MG264304,IBRS04
MG264305,IBRS11
MG264306,IBRS15
MG264307,IBRS16
MG264308,IBRS18
MG264309,IBRS19
MG264310,IBRS20
MG264311,IBRS21
MG264312,IBRS23
MG264313,IBRS24
MG264314,IBRS22
MG264315,IBRS22
MG264316,IBRS22
MH266060,U905
MH266061,U898
MH266062,D1845
MH266063,D1851
MF474259,Rz14-7 AG4 HGI
MF474260,RZ15-4 AG2-1
MF804911,RhDAG18
MH861503,CBS 362.82
MH861562,CBS 159.83
MH861563,CBS 160.83
MH861564,CBS 161.83
MH861565,CBS 162.83
MH861566,CBS 165.83
MH861567,CBS 166.83
MH861568,CBS 167.83
MH861569,CBS 169.83
MH861731,CBS 210.84
MH861739,CBS 323.84
MH861740,CBS 326.84
MH861741,CBS 336.84
MH861742,CBS 339.84
MH861743,CBS 343.84
MH862636,CBS 198.97
MH862637,CBS 200.97
MH862638,CBS 201.97
MH862639,CBS 202.97
MH862640,CBS 203.97
MH862641,CBS 204.97
MH862642,CBS 205.97
MH862643,CBS 206.97
MH862752,CBS 101764
MH862753,CBS 101768
MH862756,CBS 101771
MH862758,CBS 101775
MH863393,CBS 124593
MH863394,CBS 124594
MH025377,SQU14018
MH025378,SQU14088
MH483954,GL1711080301
MH483955,GL171108130801
MH483956,GL1110160301
MH483957,GL1110160501
MH483958,GL1110170301
MH483959,GL1205220601
MH483960,GL1110160401
MH483961,BC1608240501
MH483962,GL1607010202
MH483963,GL1508251301
MH483964,XBC1409170901
MH483965,JC1509103202
MH483966,BC1309131902
MH483967,BC1309131901
MK336664,1
MK336665,2
MK336666,3
MK336667,4
MK336668,5
MK336669,6
MK336670,7
MK336671,8
MK336672,9
MK336673,10
MK336674,11
MK336675,12
